Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764869402.234396,0,0,-3,-1,-2,1,-2,-1,REST
1764869402.265213,-3,-3,-4,-2,-2,0,-2,0,REST
1764869402.2800462,1,-1,-1,-2,-2,-1,0,-1,REST
1764869402.2944074,-1,-3,0,1,-1,1,1,-1,REST
1764869402.3176396,-2,0,-1,-1,-2,-2,-2,0,REST
1764869402.340126,-1,-4,-4,-4,-3,0,-1,0,REST
1764869402.354432,-2,1,1,0,0,4,-1,-1,REST
1764869402.377909,-1,1,0,0,-1,-3,-1,-2,REST
1764869402.4001443,3,-1,-1,-1,0,1,0,0,REST
1764869402.4231813,-1,-1,-4,-3,-3,0,1,-1,REST
1764869402.4391015,-3,1,2,1,2,-2,1,2,REST
1764869402.460145,-1,3,1,2,1,-2,-1,-4,REST
1764869402.4736857,4,4,5,3,2,5,0,1,REST
1764869402.4820428,0,3,-3,-5,-4,-4,-2,-4,REST
1764869402.4975061,-2,-2,-2,-3,-1,-3,0,0,REST
1764869402.5202446,-2,-4,-4,0,2,0,-1,-1,REST
1764869402.5427668,-3,-3,0,-2,-2,-2,-3,0,REST
1764869402.5576398,-2,-3,0,-2,0,-2,-1,-1,REST
1764869402.5799944,-3,1,1,1,0,2,-2,-2,REST
1764869402.593648,1,-2,-5,0,-2,0,0,-1,REST
1764869402.60199,1,0,0,0,-1,-3,-1,-2,REST
1764869402.6175365,-4,-3,-2,-1,-2,-1,-2,-2,REST
1764869402.6391625,4,-2,1,2,11,3,0,2,REST
1764869402.6469169,-1,0,-1,0,0,0,-1,-1,REST
1764869402.6537268,-3,-5,-7,-7,-8,-2,-2,-2,REST
1764869402.6620135,2,1,2,2,2,-1,0,0,REST
1764869402.6763325,-2,-1,-3,-1,-2,-1,-1,0,REST
1764869402.685382,-3,-4,-6,-5,-4,0,-3,0,REST
1764869402.7002482,1,2,2,1,-1,-1,0,-1,REST
1764869402.7141988,-1,3,2,1,-1,0,0,-1,REST
1764869402.7219355,0,-2,1,-1,-2,-2,0,-1,REST
1764869402.7375882,-6,-8,-8,-6,-3,-1,-1,-2,REST
1764869402.7601333,5,10,23,23,13,7,3,2,REST
1764869402.7826147,-3,-7,-9,-8,-6,-4,-1,-2,REST
1764869402.7975478,-2,-2,-5,-2,-4,0,-1,-1,REST
1764869402.8201938,0,2,-4,-4,-2,-5,-3,-3,REST
1764869402.8501854,5,2,1,-1,-1,0,0,2,REST
1764869402.8561668,-1,-3,-5,-6,-3,0,-3,-1,REST
1764869402.8653438,-3,-2,-3,1,-1,1,0,-1,REST
1764869402.8801615,0,2,6,4,0,0,1,0,REST
1764869402.9026647,-6,-9,-9,-6,-2,-2,-1,-1,REST
1764869402.9252186,7,5,2,0,-3,1,0,2,REST
1764869402.9400854,-6,-9,-5,-4,-1,0,0,-1,REST
1764869402.9627397,-3,0,-1,-3,-1,-1,-1,-1,REST
1764869402.9764073,-4,-1,-4,-1,0,-1,0,0,REST
1764869402.992891,2,0,-4,0,0,-2,-1,0,REST
1764869403.000259,-9,-4,0,-8,-8,-4,-4,-5,REST
1764869403.0225873,-3,-5,-6,-3,-1,2,-2,-2,REST
1764869403.0362997,-1,1,0,-5,-3,-1,-2,-2,REST
1764869403.0452497,-1,-3,-5,-3,-1,-1,-2,-3,REST
1764869403.0607827,-1,-1,0,-3,1,-3,-2,-2,REST
1764869403.0829246,2,5,4,10,4,5,2,0,REST
