Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764873159.236915,-3,-1,1,3,0,0,0,-1,REST
1764873159.2519355,-2,-1,1,0,3,-2,-2,-2,REST
1764873159.2607694,1,1,5,3,-4,1,0,0,REST
1764873159.2832525,-3,-4,-4,1,2,-1,-2,-1,REST
1764873159.2973707,1,3,5,6,-11,2,0,-1,REST
1764873159.3058248,-1,1,4,5,-2,-2,-1,0,REST
1764873159.3207347,-1,-2,3,4,-4,-2,-1,-2,REST
1764873159.3432908,-2,0,-1,0,-2,-2,0,-1,REST
1764873159.3659604,0,-3,-6,-7,-2,0,-1,0,REST
1764873159.38091,-1,0,-3,-9,-6,-2,-1,0,REST
1764873159.4032812,0,1,1,-1,8,-1,-1,-3,REST
1764873159.425753,-1,-2,-1,-8,13,1,-2,-1,REST
1764873159.440751,-1,0,0,4,11,-1,-2,0,REST
1764873159.4632719,-2,1,3,11,6,0,0,0,REST
1764873159.4857888,-4,-3,-3,0,-5,-2,1,-2,REST
1764873159.5000896,-1,0,0,1,-4,-1,-2,0,REST
1764873159.5068944,-1,-1,-1,-5,-6,-1,-3,-1,REST
1764873159.5298216,1,-1,-3,-3,-10,-1,-1,-2,REST
1764873159.5385618,-1,-1,2,8,4,-2,-2,-1,REST
1764873159.545833,-1,-1,-5,-12,1,-2,0,0,REST
1764873159.560102,0,0,1,0,3,-1,-1,-1,REST
1764873159.5745857,-1,-1,1,-3,-13,0,0,0,REST
1764873159.583274,-1,0,2,-3,-7,-2,-2,1,REST
1764873159.6057928,-1,-4,-8,0,0,-1,-1,-2,REST
1764873159.620143,-1,-1,2,0,-2,-1,-2,-2,REST
1764873159.6269102,0,-1,-2,-4,-6,2,0,-1,REST
1764873159.6435535,-1,-2,-5,-3,-1,0,0,-1,REST
1764873159.6657941,0,1,5,-5,1,-2,0,-1,REST
1764873159.680077,-1,-3,0,3,8,0,0,-1,REST
1764873159.6868951,-2,-2,-1,-2,-3,-2,-1,-1,REST
1764873159.7033646,-1,1,0,-5,10,-1,-1,-1,REST
1764873159.7257862,-1,-3,-3,3,-9,1,-1,-1,REST
1764873159.7400231,-1,-2,-1,0,0,-2,-1,-1,REST
1764873159.7468858,-3,-1,0,0,-5,-1,-1,0,REST
1764873159.763395,-1,-2,-5,-8,-3,1,-1,-1,REST
1764873159.7851021,0,-2,2,7,-10,-1,-3,-1,REST
1764873159.7995417,0,1,0,-5,-3,-3,-2,0,REST
1764873159.8076363,-1,-2,-1,1,9,2,-1,1,REST
1764873159.8307712,-1,-1,-2,-7,9,-2,1,0,REST
1764873159.8532867,-1,1,-1,2,-1,0,-1,-1,REST
1764873159.8595164,-1,-1,-2,2,-8,-2,-1,-1,REST
1764873159.8677163,0,0,-1,1,-8,0,-2,-2,REST
1764873159.8827477,0,0,-1,-4,-2,-1,-1,-1,REST
1764873159.9053168,-1,-1,3,-3,-4,0,-1,-2,REST
1764873159.928402,-2,-2,-3,2,-6,1,0,0,REST
1764873159.9427037,0,2,-1,0,0,-1,0,-1,REST
1764873159.9651148,-1,0,1,5,22,0,0,0,REST
1764873159.9883237,-2,-1,0,1,-7,-4,0,-2,REST
1764873160.0026,0,-1,-5,-6,-8,1,-3,-1,REST
1764873160.024828,-1,-2,-2,5,-3,-1,-2,-1,REST
1764873160.0490277,-1,-1,0,-1,0,-1,-1,-1,REST
1764873160.062571,0,-1,2,0,11,-4,-1,0,REST
1764873160.0851555,1,1,2,1,-6,-1,-1,-1,REST
1764873160.1075678,-1,-2,-4,-6,-8,-1,-1,-1,REST
1764873160.1307406,-3,0,0,0,21,-1,-1,-1,REST
1764873160.1451268,-1,-3,-5,-2,-9,-1,-1,-1,REST
1764873160.1675982,-2,0,-4,-14,-13,-2,1,-1,REST
1764873160.1825426,0,-2,0,3,-3,-3,0,0,REST
1764873160.2051876,-1,-4,-9,-8,-2,-1,-1,-1,REST
1764873160.2276368,-1,1,4,4,-6,0,-1,1,REST
1764873160.242658,-2,-1,-2,0,-8,-1,1,0,REST
1764873160.265127,0,-3,-5,-1,-6,0,-1,0,REST
1764873160.2879663,-2,-4,-8,-16,-5,0,-2,-1,REST
1764873160.2951698,0,0,0,0,22,0,0,-1,REST
1764873160.3026693,-1,0,5,7,-5,0,-1,-1,REST
1764873160.3250713,-2,1,6,4,-1,-1,-1,0,REST
1764873160.3489861,-1,-4,-5,-1,4,-2,-1,-2,REST
1764873160.3625824,2,3,3,4,0,-2,-1,-1,REST
1764873160.3855307,-1,-1,0,2,-4,1,-1,-1,REST
1764873160.4077375,1,0,3,3,2,-1,-2,-1,REST
1764873160.4307842,-2,0,0,2,-12,-1,-1,-1,REST
1764873160.4450965,-2,-3,-6,-6,0,-1,-1,-1,REST
1764873160.4676082,1,1,-1,-2,-6,-3,-1,-1,REST
1764873160.4826984,-1,0,0,-4,-10,2,-2,-3,REST
1764873160.5051758,-1,-1,-1,0,6,-1,0,0,REST
1764873160.5275965,-2,-2,2,3,6,-2,-1,-1,REST
1764873160.5508127,-1,-2,-4,1,-1,-2,-1,-1,REST
1764873160.565164,-1,-2,1,-7,2,-2,0,0,REST
1764873160.5882747,-2,0,0,3,16,-3,-2,-1,REST
1764873160.6026084,0,-1,-2,0,-3,0,1,-1,REST
1764873160.625113,1,2,2,-3,-1,1,0,-1,REST
1764873160.6476214,0,1,2,9,20,0,-1,-1,REST
1764873160.6626894,0,-2,-2,-4,7,-2,-2,-2,REST
1764873160.6851132,1,-1,2,0,-17,-2,-2,0,REST
1764873160.7075138,-3,-4,-6,-4,-6,0,-1,-1,REST
1764873160.7226124,-1,-2,-10,-5,-14,-2,0,0,REST
1764873160.7450633,0,1,1,-1,-4,-1,-1,-1,REST
1764873160.7675507,-2,-1,3,5,-13,-1,0,-1,REST
1764873160.7825785,-1,0,0,3,3,-2,-2,-4,REST
1764873160.8051012,-1,-2,-1,-2,25,4,0,0,REST
1764873160.8281677,-2,0,1,0,-5,-3,-1,-1,REST
1764873160.8511922,-1,-1,1,-4,-5,-1,-1,0,REST
1764873160.8650694,1,-1,-4,0,4,3,0,1,REST
1764873160.8958583,0,2,0,-1,-8,-2,-3,-2,REST
1764873160.9019284,-1,0,2,-6,-7,-2,-1,-1,REST
1764873160.9098425,-1,0,-2,0,-3,-2,0,-1,REST
1764873160.9252143,-3,-2,-2,-2,7,-1,-1,0,REST
1764873160.9477046,0,0,1,0,-8,-2,0,-3,REST
1764873160.9619443,-1,-1,0,1,-4,0,0,-1,REST
1764873160.9701197,-1,-2,1,9,-8,0,-2,-2,REST
1764873160.985117,-1,-2,-2,-3,1,-2,-1,0,REST
1764873161.0077426,-1,-4,-9,-6,-4,-3,-2,-1,REST
1764873161.0219603,-2,-3,-11,-5,0,0,-2,-1,REST
1764873161.0302505,-1,-1,0,-3,-7,-3,0,-2,REST
1764873161.0459156,0,-1,0,0,0,1,-1,1,REST
1764873161.0676396,-1,2,2,2,-4,-1,-3,0,REST
1764873161.0819404,0,1,3,-5,0,-1,-2,-2,REST
1764873161.0900898,-1,-2,-3,0,-12,0,-1,-1,REST
1764873161.1052482,-2,-3,2,6,13,1,-1,-3,REST
1764873161.1276596,-2,-3,0,-3,-2,-2,1,1,REST
1764873161.1419957,1,-1,-4,0,-3,-1,0,-1,REST
1764873161.150254,-2,-1,-1,-1,-6,-1,-2,-1,REST
1764873161.165262,0,0,2,8,-11,0,-1,-2,REST
1764873161.1959183,1,-1,2,-1,2,-1,-1,-1,REST
1764873161.201909,-1,0,-1,-1,-5,-1,0,-1,REST
1764873161.217594,-2,-1,1,-4,2,-1,-2,-2,REST
1764873161.2251294,1,2,0,-2,2,0,-1,-2,REST
1764873161.2476897,-2,3,0,0,-3,-1,0,-1,REST
1764873161.270914,-2,-3,-6,-4,1,-3,0,0,REST
1764873161.285171,-3,-5,-11,-6,-2,-1,-2,0,REST
