Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764873608.975498,-2,-2,-4,-2,7,-2,1,-1,REST
1764873608.9918087,-1,-1,4,3,20,1,-1,-1,REST
1764873609.0065584,-1,-2,-1,2,-2,1,-1,0,REST
1764873609.0201166,0,0,3,1,-10,-3,-1,-2,REST
1764873609.0291328,-3,-2,-5,-1,-24,0,-1,-1,REST
1764873609.0439982,-1,-1,-3,-1,13,0,0,-1,REST
1764873609.066792,0,-1,-2,-1,-3,-1,0,-1,REST
1764873609.08022,-1,0,-2,-3,-10,-1,-2,0,REST
1764873609.0891116,-1,1,0,2,4,0,0,-1,REST
1764873609.1189554,-1,-1,1,0,-9,-2,0,0,REST
1764873609.1339688,0,-2,-3,-13,-11,-5,-1,-2,REST
1764873609.1402571,-1,0,-3,2,1,-1,-2,-1,REST
1764873609.1661334,-1,-2,-4,0,2,-2,-1,-2,REST
1764873609.1865711,-2,0,1,-1,-3,-3,-2,0,REST
1764873609.2166953,0,-2,-2,0,9,-2,-1,0,REST
1764873609.224,0,-2,1,-1,-11,-2,0,0,REST
1764873609.25418,-2,-4,-5,-2,17,-1,-2,-1,REST
1764873609.2601893,-1,0,-4,1,-1,0,-1,-2,REST
1764873609.2691996,-1,-1,0,1,-10,-1,-1,-1,REST
1764873609.283973,-1,-3,-2,-3,20,0,-1,-1,REST
1764873609.306581,0,0,1,0,-1,-1,-1,-2,REST
1764873609.3202758,2,2,4,4,5,1,0,0,REST
1764873609.3292563,-2,-2,-1,-4,-7,0,0,0,REST
1764873609.3441029,0,-1,-1,3,-10,0,-2,0,REST
1764873609.365589,-4,-2,0,-3,-8,-5,-1,-1,REST
1764873609.3741827,0,-2,-1,-1,2,-2,-1,-1,REST
1764873609.3801937,0,0,-1,1,-3,2,1,0,REST
1764873609.396898,-1,-2,0,2,-19,-1,0,-1,REST
1764873609.40409,-3,-2,-8,-11,-11,1,0,-1,REST
1764873609.4265494,-1,-1,2,0,0,-2,-2,0,REST
1764873609.4406214,-1,-1,1,0,23,-4,-2,-1,REST
1764873609.4491403,1,0,0,1,-3,-2,0,-1,REST
1764873609.463999,1,-1,0,-2,-5,1,-1,-1,REST
1764873609.486622,0,-2,-10,8,-2,3,0,0,REST
1764873609.5089397,-1,-2,2,-3,-10,-4,-2,0,REST
1764873609.531595,-1,-1,0,-3,4,-3,-1,-2,REST
1764873609.5465317,0,0,0,-1,-1,1,-1,-1,REST
1764873609.5765676,0,0,3,1,-15,2,0,-1,REST
1764873609.5915504,-1,1,2,0,3,-2,-2,-2,REST
1764873609.6064982,-1,-4,-2,-1,-23,-1,-1,0,REST
1764873609.6291735,-1,-1,0,-3,-13,-2,-1,0,REST
1764873609.6433694,1,-3,-1,0,7,-3,0,-2,REST
1764873609.650065,0,-1,-4,4,-3,-1,0,0,REST
1764873609.674174,-1,0,0,4,6,1,-3,-1,REST
1764873609.6891375,-2,-5,-10,-4,-1,-2,1,0,REST
1764873609.7189834,-2,1,2,-2,13,-3,-3,-3,REST
1764873609.7264192,0,2,-1,-2,5,0,-1,0,REST
1764873609.7655406,-1,-1,-2,-4,0,-1,-1,-3,REST
1764873609.7717352,-1,-3,-3,3,10,0,-1,-1,REST
1764873609.7866125,-1,1,2,0,1,-2,0,-1,REST
1764873609.8090422,-2,1,0,2,-6,-1,-2,0,REST
1764873609.8234062,0,-1,-1,-3,-2,0,-1,0,REST
1764873609.8302827,-1,0,3,0,-12,-2,1,-2,REST
1764873609.8542323,-1,-1,-6,-4,1,-3,-3,-1,REST
1764873609.8690884,-1,0,-1,1,11,2,1,0,REST
1764873609.8835053,-2,-4,-5,-5,3,-4,-1,-3,REST
1764873609.9072487,1,3,5,3,12,0,-1,0,REST
1764873609.9291735,0,0,3,1,0,0,1,-1,REST
1764873609.9515092,0,-3,0,2,5,-2,-1,-1,REST
1764873609.9665132,-2,-2,-3,-2,-9,-1,1,-1,REST
1764873609.9970655,0,1,3,4,-8,-3,-3,-1,REST
1764873610.0026474,-1,-1,0,0,-13,-3,-1,0,REST
1764873610.0116353,0,0,3,-1,9,-2,1,0,REST
1764873610.0266201,-1,-1,-4,1,3,1,-1,0,REST
1764873610.0490618,0,2,6,6,32,4,2,1,REST
