Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764874058.0195436,-2,-2,-2,2,-1,0,0,-1,REST
1764874058.0260348,-3,-1,0,-2,3,0,-2,1,REST
1764874058.0424714,0,1,-2,-1,0,-1,-1,-1,REST
1764874058.0648625,-3,-4,-11,-22,13,2,-1,-3,REST
1764874058.0792947,-1,0,1,16,-7,0,1,0,REST
1764874058.0859442,-1,-2,-6,-6,0,0,0,-1,REST
1764874058.1025443,0,-2,-1,-2,-3,-2,-1,-3,REST
1764874058.1247704,-2,-1,-1,-1,-2,-3,-1,-1,REST
1764874058.131125,-2,0,3,3,2,-3,-1,1,REST
1764874058.1393132,-2,-1,-5,-4,-2,-2,-1,-3,REST
1764874058.1459928,0,1,6,11,-1,-2,-1,-1,REST
1764874058.1625454,-2,-2,5,0,-4,-1,-1,1,REST
1764874058.1849015,0,1,3,6,2,-1,-1,0,REST
1764874058.199339,-1,-1,-1,-2,1,-4,-2,1,REST
1764874058.2061048,0,0,-3,-5,7,1,0,-1,REST
1764874058.2224138,1,-1,0,5,-3,1,0,-2,REST
1764874058.2605865,-2,-2,-7,-5,-4,0,-2,0,REST
1764874058.2676408,-3,-2,1,11,-6,-1,0,-3,REST
1764874058.2824125,0,-2,-2,2,2,-1,-2,-2,REST
1764874058.3049731,1,-3,-7,-4,20,0,0,-1,REST
1764874058.3184972,-1,1,5,3,-7,10,2,1,REST
1764874058.327715,-2,-4,-9,-13,-4,-6,-5,-1,REST
1764874058.3429387,2,2,4,0,-4,-2,0,-1,REST
1764874058.3649135,-1,-2,-5,0,-3,-6,-2,-2,REST
1764874058.378674,-3,-4,-8,10,-3,-1,-2,-2,REST
1764874058.3876858,-2,-2,-4,-3,-3,-2,-2,-1,REST
1764874058.4022987,-4,-5,-9,4,-5,-1,-2,0,REST
1764874058.408649,-1,-1,-2,1,21,-2,-2,-1,REST
1764874058.4250143,-1,1,2,-1,-5,0,-1,-1,REST
1764874058.438491,0,0,2,-6,-1,-1,-1,-2,REST
1764874058.4475944,-3,-1,-3,-12,-9,1,-2,-1,REST
1764874058.4624257,0,2,2,-5,-5,-3,0,0,REST
1764874058.4850194,-1,-2,-4,-8,6,-3,0,-2,REST
1764874058.4986227,-2,-2,-3,-1,-8,-1,-2,-1,REST
1764874058.507649,0,0,2,-1,-27,-1,0,0,REST
1764874058.5223722,0,1,6,11,-2,-3,-3,0,REST
1764874058.545007,0,0,1,2,-1,-2,0,0,REST
1764874058.5586417,-2,-1,-1,1,2,0,0,-1,REST
1764874058.567577,-1,-1,3,-1,-6,1,-1,-1,REST
1764874058.5824234,-1,-2,-3,-10,-5,-3,0,-2,REST
1764874058.604977,0,0,-3,-3,3,1,0,-3,REST
1764874058.618564,-1,-1,-2,-6,-3,-2,-1,-1,REST
1764874058.6277335,-1,-1,-1,5,-2,-1,-1,-1,REST
1764874058.6425464,1,1,4,1,1,-3,-1,0,REST
1764874058.6649745,-2,0,2,2,-2,-3,-1,1,REST
1764874058.6873674,-1,-2,-3,-7,-5,1,0,-2,REST
1764874058.710017,-1,-1,-1,2,2,-4,-1,-2,REST
